cluster,location,status,property_type,price,capital_gain_pct,price_per_sqft,area_sqft,bedrooms,date,sold_by,possible_partial_or_nonstandard_sale,source_file,source_page,record_uid
Avena 2,"Avena 2, The Valley, Al Yufrah 1",Offplan,Villa,3800000.0,-14.0,1023.0,3233.0,4,2026-06-29,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",10,362acb35a63a45b3cbafa7d2af296d51b5c2d512
Nara,"Nara, The Valley, Al Yufrah 1",Ready,Villa,3400000.0,92.0,1553.0,2750.0,4,2026-06-29,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",10,ea76c7b5e08121a44f8a3cea74fedabf0ced454f
Nara,"Nara, The Valley, Al Yufrah 1",Ready,Villa,3400000.0,89.0,1553.0,2772.0,4,2026-06-26,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",10,2966267ced6678389cbc9da59f1714f69802b2b8
Elora,"Elora, The Valley, Al Yufrah 1",Ready,Villa,2575000.0,3.0,1225.0,1483.0,3,2026-06-26,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",10,fc8404ebf1f60439d33dd2773f206acede32ed22
Farm Gardens 2,"Farm Gardens 2, The Valley, Al Yufrah 1",Offplan,Villa,9150000.0,-7.0,1133.0,9300.0,5,2026-06-25,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",10,03a7f8f9731e0f26d49bc2c183877e078a114dbf
Venera,"Venera, The Valley, Al Yufrah 1",Offplan,Villa,2861888.0,,1154.0,2101.0,3,2026-06-25,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",10,6b201ccac300c89b6ff54ecdd9677ecb7b2cf0d0
Nara,"Nara, The Valley, Al Yufrah 1",Ready,Villa,2800000.0,2.0,1461.0,1873.0,3,2026-06-25,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",10,43de86806738bc74bb8ccce1df0636ef1d212299
Elora,"Elora, The Valley, Al Yufrah 1",Ready,Villa,2700000.0,23.0,1284.0,1483.0,3,2026-06-25,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",10,9a14b6a55108a41724b9a1afc2f518221d48745d
Farm Gardens 2,"Farm Gardens 2, The Valley, Al Yufrah 1",Offplan,Villa,8500000.0,-8.0,1053.0,9682.0,5,2026-06-25,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",10,e37d3f4500f64f8f303967aa08f90e10b3c7c3e0
Rivana,"Rivana, The Valley, Al Yufrah 1",Offplan,Villa,3800000.0,-6.0,1072.0,3561.0,4,2026-06-24,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",11,6a2a7a5285f920df90ad3826e2464a92783d59a2
Rivana,"Rivana, The Valley, Al Yufrah 1",Offplan,Villa,3950000.0,17.0,1195.0,3988.0,4,2026-06-24,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",11,be8ed86d08b3aba39e643d41a0db83a368a32630
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,2700000.0,67.0,1355.0,1904.0,3,2026-06-23,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",11,58762c22b05438fa639f63d8af00365de98cabfa
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,3300000.0,60.0,1441.0,2809.0,4,2026-06-23,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",11,2650c115e8c0e13dfd826b09ca556161a2001e67
Nima,"Nima, The Valley, Al Yufrah 1",Offplan,Villa,2425000.0,5.0,1085.0,2041.0,3,2026-06-22,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",11,16483a0ad3d223f6db4e2628c4880d213d98e03a
Nara,"Nara, The Valley, Al Yufrah 1",Ready,Villa,3300000.0,32.0,1458.0,2750.0,4,2026-06-22,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",11,9f84de2f7ab70c8c380488623b016d47c4ccaf22
Elora,"Elora, The Valley, Al Yufrah 1",Ready,Villa,3350000.0,26.0,1279.0,2487.0,4,2026-06-22,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",11,0ce57b2a70ba86dc8f063a5782dcd80b8a7ad7a5
Eden,"Eden, The Valley, Al Yufrah 1",Ready,Villa,3250000.0,30.0,1413.0,2803.0,4,2026-06-19,Individual (3 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",11,045f422eb20c4962150d11ea0ee0e2f1320b7398
Rivana,"Rivana, The Valley, Al Yufrah 1",Offplan,Villa,3750000.0,13.0,1134.0,3390.0,4,2026-06-19,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",11,c39ad4acdbdce37f80ffa49321b549a97388a62f
Talia,"Talia, The Valley, Al Yufrah 1",Ready,Villa,3100000.0,63.0,1417.0,2750.0,4,2026-06-19,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",11,5e10f2b35c3776c6bce15c6d5e19c136581f9f55
Farm Gardens 2,"Farm Gardens 2, The Valley, Al Yufrah 1",Offplan,Villa,8600000.0,-7.0,1080.0,9621.0,5,2026-06-19,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",11,29ddc0711855f283765f987459be55923b7279ba
Elora,"Elora, The Valley, Al Yufrah 1",Ready,Villa,2550000.0,53.0,1213.0,1483.0,3,2026-06-18,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",11,21a35445b3403fe5a87555c1440456e9c532999b
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,3350000.0,20.0,1488.0,2784.0,4,2026-06-18,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",11,b263797f1a1538b1ee702903446fb693d14e169b
Venera,"Venera, The Valley, Al Yufrah 1",Offplan,Villa,3912888.0,,1439.0,2969.0,4,2026-06-17,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",12,3e416fa942b3e854fa9e9d5766420da6b577e43e
Rivana,"Rivana, The Valley, Al Yufrah 1",Offplan,Villa,4000000.0,20.0,1203.0,3335.0,4,2026-06-17,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",12,5c43c54cdae55ba5d3ccd4e8bf527c8d421cb09f
Nara,"Nara, The Valley, Al Yufrah 1",Ready,Villa,3467500.0,92.0,1517.0,2773.0,4,2026-06-17,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",12,ec188f5ca16f57d71e94fccbeda25ff51c49c5f5
Elora,"Elora, The Valley, Al Yufrah 1",Ready,Villa,2550000.0,43.0,1211.0,1481.0,3,2026-06-16,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",12,25ef895ae5c1841d6a98ed056498bff8fc9ec881
Elora,"Elora, The Valley, Al Yufrah 1",Ready,Villa,2600000.0,33.0,1235.0,1481.0,3,2026-06-16,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",12,c771f3435baeb75bab0c3c3ea7a219ef1a874593
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,2575000.0,68.0,1338.0,1904.0,3,2026-06-16,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",12,5283c324809cccb659500fe7452cc1686a0827ab
Venera,"Venera, The Valley, Al Yufrah 1",Offplan,Villa,3463210.0,,1268.0,3746.0,4,2026-06-13,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",12,032ba7e6caf2960d366c89cd49f6a5f337642a82
Elora,"Elora, The Valley, Al Yufrah 1",Ready,Villa,2550000.0,46.0,1213.0,1483.0,3,2026-06-12,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",12,df9b554a29ef45e29d726e1f43ae7a701443d4a8
Rivana,"Rivana, The Valley, Al Yufrah 1",Offplan,Villa,3800000.0,12.0,1070.0,3323.0,4,2026-06-12,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",12,50e1e9f0aff69bb24b9aa8b2e980b0c30f8b1772
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,3450000.0,82.0,1532.0,2940.0,4,2026-06-12,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",12,95f55887bc04f87020da9dfc5baa4bd7d40b46dc
Velora,"Velora, The Valley, Al Yufrah 1",Ready,Villa,3249888.0,100.0,1191.0,3537.0,4,2026-06-11,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",12,c44af99636c4107cbb714bb4c966d99f1a87f9d6
Nara,"Nara, The Valley, Al Yufrah 1",Ready,Villa,2650000.0,8.0,1409.0,1873.0,3,2026-06-11,Individual (4 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",12,095fa5f4e14c63a2d0df2371efe8c122e669feb9
Nima,"Nima, The Valley, Al Yufrah 1",Offplan,Villa,2350000.0,12.0,1052.0,1874.0,3,2026-06-10,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",12,556e333963a4313aa261c16666567334a28728bd
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,2800000.0,30.0,1423.0,1873.0,3,2026-06-10,Individual (3 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",13,938d894c8cc9e6d6de263a233487fa091e73b800
Eden,"Eden, The Valley, Al Yufrah 1",Ready,Villa,2500000.0,114.0,1275.0,1873.0,3,2026-06-09,Individual (3 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",13,269b81f7cc67ace8391f0a5768faac6bfb356e9d
Venera,"Venera, The Valley, Al Yufrah 1",Offplan,Villa,362548.0,-12.0,133.0,2987.0,4,2026-06-08,Individual (1 Time),True,"The Valley (All Phases), Al Yufrah 1-3.pdf",13,d819cb6b274632bcdd0835548c7ba31c2e5e6056
Venera,"Venera, The Valley, Al Yufrah 1",Offplan,Villa,3141888.0,,1250.0,1938.0,3,2026-06-08,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",13,cb894778864ec27fce922990a3ecec6665d76352
Talia,"Talia, The Valley, Al Yufrah 1",Ready,Villa,3200000.0,55.0,1463.0,2772.0,4,2026-06-08,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",13,98084263abbf7afe8c9c77a7e0a998753e89b96f
Farm Gardens 2,"Farm Gardens 2, The Valley, Al Yufrah 1",Offplan,Villa,8100000.0,-17.0,1017.0,9515.0,5,2026-06-08,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",13,005a8c67609ae6c4133b95753169bb744c808fc8
Talia,"Talia, The Valley, Al Yufrah 1",Ready,Villa,3300000.0,7.0,1471.0,2750.0,4,2026-06-08,Individual (3 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",13,a4539b22f6526640b2312c39c517903df5f8e0b5
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,2650000.0,64.0,1337.0,1873.0,3,2026-06-08,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",13,17ae6894e3accc9d0ccae0438a6cf2df092789b3
Alana,"Alana, The Valley, Al Yufrah 1",Ready,Villa,5394888.0,,1114.0,4824.0,5,2026-06-05,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",13,fe8fde0b2b798a8f18a538ba22de496345ec57fc
Avena,"Avena, The Valley, Al Yufrah 1",Offplan,Villa,4209199.0,-10.0,1141.0,3958.0,4,2026-06-05,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",13,9a521422927b3768495d29fbc4b4a27ed8db4bd1
Alana,"Alana, The Valley, Al Yufrah 1",Ready,Villa,5450000.0,1.0,1125.0,4947.0,5,2026-06-04,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",13,ccf9c148d0a99d758bcb9b2da4490274e5e4aff6
Elora,"Elora, The Valley, Al Yufrah 1",Ready,Villa,2400000.0,34.0,1140.0,1484.0,3,2026-06-04,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",13,cb6a0390922fa9952f2a767c821baa4f865c9cc6
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,3820000.0,63.0,1621.0,4199.0,4,2026-06-03,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",13,926e6c100be1a9adc9c0389efa1d27096eb743ad
Rivana,"Rivana, The Valley, Al Yufrah 1",Offplan,Villa,4660000.0,8.0,1026.0,4726.0,5,2026-06-02,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",14,d017d5c6e1e3ea5151526871ee3a9f3c8de4cead
Lillia,"Lillia, The Valley, Al Yufrah 1",Offplan,Villa,3150000.0,4.0,1057.0,3742.0,4,2026-06-02,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",14,89e44c408b163d4179a789d1dac33312a94a9340
Rivana,"Rivana, The Valley, Al Yufrah 1",Offplan,Villa,3500000.0,5.0,1053.0,3391.0,4,2026-06-02,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",14,c6b19f794ac33671ddca74b25df6ca4e9379953b
Venera,"Venera, The Valley, Al Yufrah 1",Offplan,Villa,1720944.0,-0.0,630.0,4006.0,4,2026-05-23,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",14,7f2010e4534b31d9906113d396d19ffd93b88199
Rivera,"Rivera, The Valley, Al Yufrah 1",Offplan,Villa,5232888.0,,1417.0,3584.0,4,2026-05-23,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",14,5a5d54261cecbbafb61a24ddc2b05731a7e58711
Farm Gardens,"Farm Gardens, The Valley, Al Yufrah1",Ready,Villa,8000000.0,17.0,1414.0,10000.0,5,2026-05-22,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",14,46f19d7717bb3bffcf0932515a434806009a877c
Farm Gardens,"Farm Gardens, The Valley, Al Yufrah1",Ready,Villa,7100000.0,20.0,1434.0,8816.0,4,2026-05-22,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",14,5cb8f841714032d7c1a0f2939a51d1f0371be46b
Nara,"Nara, The Valley, Al Yufrah 1",Ready,Villa,2600000.0,27.0,1382.0,1873.0,3,2026-05-22,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",14,fea2bfc597ecbd76aaf3c4d73f33addaf6eecb91
Farm Gardens,"Farm Gardens, The Valley, Al Yufrah1",Ready,Villa,8000000.0,19.0,1414.0,10009.0,5,2026-05-21,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",14,d9fec7f7a7ad88431dbac48caa5a875c71e254c4
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,2550000.0,61.0,1312.0,1904.0,3,2026-05-21,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",14,1ec44c7752f363e6dfd69cba1a365cb0bb329467
Lillia,"Lillia, The Valley, Al Yufrah 1",Offplan,Villa,2300000.0,3.0,1056.0,1483.0,3,2026-05-20,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",14,da13b0f2926d011ebb59b3a95564de2b7ba6e1ca
Rivana,"Rivana, The Valley, Al Yufrah 1",Offplan,Villa,3875000.0,17.0,1172.0,3339.0,4,2026-05-20,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",14,a1def18d6549d638ecf785f53e877237edc61dbf
Talia,"Talia, The Valley, Al Yufrah 1",Ready,Villa,3940000.0,95.0,1802.0,2772.0,4,2026-05-20,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",14,db076e76c65eba5064e656fc1bab67f4a75ab3ac
Nara,"Nara, The Valley, Al Yufrah 1",Ready,Villa,3350000.0,29.0,1530.0,2772.0,4,2026-05-19,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",15,5dfce8545eb698a97ea9bbe0ea63277b41d036ea
Venera,"Venera, The Valley, Al Yufrah 1",Offplan,Villa,2903888.0,,1172.0,1938.0,3,2026-05-18,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",15,d7282f352b8084b11207f7ee9808e0e2202847e2
Elora,"Elora, The Valley, Al Yufrah 1",Ready,Villa,3400000.0,-5.0,1298.0,2486.0,4,2026-05-18,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",15,c6c9ac4bb35d4d9adfc0a4032ef941be1577438a
Rivera,"Rivera, The Valley, Al Yufrah 1",Offplan,Villa,1223007.0,,332.0,3737.0,4,2026-05-16,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",15,1f22c571523cb056180fa6541c028062b99f5d1a
Nima,"Nima, The Valley, Al Yufrah 1",Offplan,Villa,2375000.0,13.0,1012.0,1873.0,3,2026-05-15,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",15,cee8e6087534810aa5123cfd2238072deb68c697
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,2600000.0,27.0,1322.0,1873.0,3,2026-05-15,Individual (3 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",15,e853f18364d2ef8ac0ef0d69b6c9f6d99a1e08c1
Nima,"Nima, The Valley, Al Yufrah 1",Offplan,Villa,2600000.0,23.0,1164.0,1873.0,3,2026-05-14,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",15,536c07deb79375a082324756a194e77742bea8a7
Vindera,"Vindera, The Valley, Al Yufrah 1",Ready,Villa,4220888.0,,1445.0,2788.0,4,2026-05-14,Developer,False,"The Valley (All Phases), Al Yufrah 1-3.pdf",15,b2acd5b6f399d3c5d7c5ed0d17df5bbd57ee9318
Nara,"Nara, The Valley, Al Yufrah 1",Ready,Villa,2950000.0,67.0,1448.0,1873.0,3,2026-05-13,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",15,560c90113b8263e7496c15a787f7e79761eb90ed
Farm Gardens 2,"Farm Gardens 2, The Valley, Al Yufrah 1",Offplan,Villa,7506888.0,,1130.0,8676.0,4,2026-05-13,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",15,a2df0747513d4f43c7ef1db779a93902c11ced46
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,3050000.0,74.0,1541.0,1873.0,3,2026-05-13,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",15,1257d83dc3730a80151ab8c72fe0ecae169e49fc
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,2900000.0,89.0,1533.0,1873.0,3,2026-05-13,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",16,e36c10e8ecdf57155d83c13b8b6c9ca0cc23898e
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,2600000.0,4.0,1373.0,1873.0,3,2026-05-13,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",16,2f7e5bf5ca8bcb04da05f10d66b2a7545088dc01
Nima,"Nima, The Valley, Al Yufrah 1",Offplan,Villa,2700000.0,12.0,1209.0,1909.0,3,2026-05-13,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",15,be4f537901bb325823f7b6c6712731646223ed70
Alana,"Alana, The Valley, Al Yufrah 1",Ready,Villa,3750888.0,,1002.0,3237.0,3,2026-05-13,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",15,55535937eef8327e7b8c2da15ce115b584513027
Nara,"Nara, The Valley, Al Yufrah 1",Ready,Villa,2835000.0,103.0,1372.0,1873.0,3,2026-05-12,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",16,e44dce06cb1ace1c8036d5712f88eb1dc942940e
Farm Grove,"Farm Grove, The Valley, Al Yufrah 1",Offplan,Villa,4400000.0,-8.0,1172.0,3530.0,4,2026-05-08,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",16,6ca2ac4e83bb2832a6158b87241b5aa12b6b68e1
Rivana,"Rivana, The Valley, Al Yufrah 1",Offplan,Villa,3700000.0,7.0,1042.0,3487.0,4,2026-05-08,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",16,39e63feb821d888681def520edf6e85d2a1bcdd2
Lillia,"Lillia, The Valley, Al Yufrah 1",Offplan,Villa,2101888.0,,962.0,1543.0,3,2026-05-08,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",16,b74c6cfcc29155c31dd668ef3d8b835088966b72
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,2725000.0,75.0,1375.0,1873.0,3,2026-05-08,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",16,95b784fe8729057297275676042ee2628c9b6346
Nara,"Nara, The Valley, Al Yufrah 1",Ready,Villa,2800000.0,87.0,1490.0,1873.0,3,2026-05-08,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",16,414b5a3092b095fa17c45405a9eb28e17542bd91
Rivana,"Rivana, The Valley, Al Yufrah 1",Offplan,Villa,3515000.0,3.0,990.0,3674.0,4,2026-05-07,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",16,5bc025f0c25c61e9e2ec92ae9cc7e386104901cd
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,2550000.0,19.0,1287.0,1873.0,3,2026-05-05,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",16,4768b229e6d625698c153687e8a23e5a881e2379
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,3600000.0,82.0,1599.0,2784.0,4,2026-05-04,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",16,319fa710dd0e396aaa0df4c726dcf6a861798b8c
Farm Gardens 2,"Farm Gardens 2, The Valley, Al Yufrah 1",Offplan,Villa,7300000.0,-6.0,1141.0,8783.0,4,2026-05-04,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",16,9fb781b40b65b01bf13c4fe355d71ba8eeb8a9b8
Venera,"Venera, The Valley, Al Yufrah 1",Offplan,Villa,2841888.0,,1130.0,1940.0,3,2026-05-01,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",16,de9eb4dfd3b224af8706245523f5aa1f048a81d7
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,3350000.0,2.0,1465.0,3070.0,4,2026-05-01,Individual (3 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",17,3e692a0d0e0f4e51a7ba8b7b7ace04aec58ed87c
Elva,"Elva, The Valley, Al Yufrah 1",Ready,Villa,3751880.0,,1387.0,3918.0,4,2026-04-27,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",17,d4fa64e5a6d4245a57f2d6d28d0f06978d8cbfd4
Nara,"Nara, The Valley, Al Yufrah 1",Ready,Villa,2850000.0,68.0,1466.0,1904.0,3,2026-04-27,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",17,193f947dafd335cba34d8d5a787e24e1f62629b9
Nara,"Nara, The Valley, Al Yufrah 1",Ready,Villa,2900000.0,106.0,1404.0,1873.0,3,2026-04-27,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",17,2754591492435570cecb3aed0d9eaee623d63dd9
Farm Gardens,"Farm Gardens, The Valley, Al Yufrah1",Ready,Villa,6700000.0,24.0,1354.0,8686.0,4,2026-04-24,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",17,a3c301282b4ad43edbadb8896490032d19d3de5b
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,2730000.0,73.0,1442.0,1873.0,3,2026-04-23,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",17,e1d7cb6ff124510fdbe807ffa26357936ab6274d
Elva,"Elva, The Valley, Al Yufrah 1",Ready,Villa,3317888.0,,1373.0,2241.0,3,2026-04-23,Developer,False,"The Valley (All Phases), Al Yufrah 1-3.pdf",17,4d310030150b08c80012f3c450c5f2c1a97e5fb4
Nima,"Nima, The Valley, Al Yufrah 1",Offplan,Villa,2400000.0,4.0,1010.0,1904.0,3,2026-04-23,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",17,b3e573ffa234c81b2ec39ca6bc9a3550347f8ce0
Farm Grove,"Farm Grove, The Valley, Al Yufrah 1",Offplan,Villa,6500000.0,-18.0,1069.0,6889.0,5,2026-04-23,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",17,cd4c61c0b92b9f3f74b197c582bf59aecfcf6393
Farm Gardens 2,"Farm Gardens 2, The Valley, Al Yufrah 1",Offplan,Villa,9883888.0,,1224.0,9211.0,5,2026-04-23,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",17,e00b0f8fd10d13205eb5d92a657d3525bd54c612
Elva,"Elva, The Valley, Al Yufrah 1",Ready,Villa,3072888.0,,1272.0,1938.0,3,2026-04-22,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",17,0283fd6bfdccf1df957f50133efad1e8737696e1
Talia,"Talia, The Valley, Al Yufrah 1",Ready,Villa,3900000.0,57.0,1783.0,2750.0,4,2026-04-22,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",17,09f7d41aca6e5b5749d13fc7bca061ac1cea3fc2
Talia,"Talia, The Valley, Al Yufrah 1",Ready,Villa,3450000.0,11.0,1537.0,2774.0,4,2026-04-22,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",18,6a18be68a1dc85162a90e0ebec317f0d41028669
Alana,"Alana, The Valley, Al Yufrah 1",Ready,Villa,5451888.0,,1117.0,5019.0,5,2026-04-22,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",17,9bb4276a894626362be2fdd5e7ca52529fcfa5ec
Nara,"Nara, The Valley, Al Yufrah 1",Ready,Villa,3050000.0,122.0,1498.0,1873.0,3,2026-04-20,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",18,0a9b6bea4c8040c9769e49b6fcd93e834e653071
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,2900000.0,82.0,1455.0,1904.0,3,2026-04-20,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",18,48158373c2ab8e095c4c1d6ce6a5af91c8463eb7
Rivera,"Rivera, The Valley, Al Yufrah 1",Offplan,Villa,5198888.0,,1400.0,3544.0,4,2026-04-17,Developer,False,"The Valley (All Phases), Al Yufrah 1-3.pdf",18,29b71a512cdc3173d46c207464632b3a7bc4938a
Avena,"Avena, The Valley, Al Yufrah 1",Offplan,Villa,4450000.0,4.0,1200.0,3229.0,4,2026-04-17,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",18,316f829fbd3400d68aebb8977917a15e9657cd72
Alana,"Alana, The Valley, Al Yufrah 1",Ready,Villa,5757888.0,,1157.0,5671.0,5,2026-04-17,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",18,62acc1dfe74c81afb3f87793571533afe8cc806c
Nara,"Nara, The Valley, Al Yufrah 1",Ready,Villa,3400000.0,89.0,1553.0,2772.0,4,2026-04-17,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",18,ca3ef105fd8498c48ee9d57209b76a9cfe3c1c2c
